time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
18_58_15,accX,0.01840000000000001,0.022271057451320093,0.15799999999999997,0.15956190021430555,165,0.000496,stopped
,accY,0.005399999999999998,7,-0.029000000000000005,0.029832867780352594,-0.03,4.9E-05,stopped
,accZ,0.005599999999999994,0.006633249580710779,924,0.924023809217057,0.92,4.39999999999997E-05,stopped
,girX,1.0739999999999998,1.600681105029981,-0.44000000000000006,1.6600542159821168,-0.8200000000000001,2.5621800000000006,stopped
,girY,2.2004,2.474623405692268,-0.44300000000000006,2.5139630068877308,-1.24,6.123761,stopped
,girZ,1129,1.7461331564345257,-0.7770000000000001,1.9112064252717444,-0.69,3.048981,stopped
18_58_42,accX,0.14,0.16924538398432024,386,0.421473605342019,395,0.028644000000000003,walking
,accY,0.0772,0.09232551110067033,-0.006000000000000003,0.09252026804976302,0.0,0.008524,walking
,accZ,0.15160000000000004,0.2251310729330805,0.9640000000000001,0.9899393920841821,905,0.05068400000000001,walking
,girX,38706,45.57878607422536,-19.240000000000002,49.47325883747704,-14015,2077.42574,walking
,girY,65.8104,75.16435966600129,-44266,87.23049764847154,-1.2550000000000001,5649.680964000001,walking
,girZ,54.0908,94.84681377885079,11.563999999999998,95.54917152963704,7.4,8995.918084,walking
18_59_09,accX,0.17279999999999998,0.20598300900802477,631,0.6637695383188355,665,0.04242900000000001,walking
,accY,0.08240000000000001,0.12025389806571761,-0.013000000000000001,0.12095453691366852,-0.02,0.014461000000000002,walking
,accZ,284,0.394791083992534,0.76,0.8564227927840314,0.8,0.15586000000000003,walking
,girX,44496,55.77598551348062,0.8200000000000003,55.782012871534135,-0.30500000000000005,3110.96056,walking
,girY,85.8352,110.77255259765388,-6.590999999999999,110.96846259185534,34.61,12270.558408999997,walking
,girZ,60842,76.76974859930179,-4.1800000000000015,76.88346181071714,1.5949999999999998,5893.5943,walking
18_59_36,accX,0.10200000000000001,0.11532562594670796,0.58,0.5913543776789008,605,0.013300000000000001,walking
,accY,0.06720000000000001,0.08419619943916709,-0.031000000000000007,0.0897217922246318,-0.01,0.007089000000000001,walking
,accZ,0.08800000000000001,0.10119288512538815,0.7799999999999999,0.7865367124298775,0.79,0.010240000000000003,walking
,girX,18957,23.275814249989196,7.911000000000001,24.583479208606743,6.135000000000001,541.7635290000001,walking
,girY,38.7032,59.82337687727098,-15647,61.83579084963659,-3.05,3578.836421,walking
,girZ,37.15839999999999,47.652287258850436,19.446999999999996,51.46772085492032,4.22,2270.740481,walking
19_00_03,accX,0.10200000000000001,0.14573949361789343,0.44000000000000006,0.4635083602266522,0.46499999999999997,0.021240000000000002,walking
,accY,0.1322,0.17181676286090367,0.06699999999999999,0.1844180034595321,135,0.029521000000000002,walking
,accZ,0.12079999999999994,0.1670209567689037,0.8619999999999999,0.878031890081448,0.8200000000000001,0.027895999999999997,walking
,girX,22.890000000000004,34.39966228031897,6.5950000000000015,35.02614437816415,-1.4249999999999998,1183.336765,walking
,girY,52.73479999999999,80.70421304987738,41284,90.65064070374792,14.31,6513.170004,walking
,girZ,34.784400000000005,44.892377571253675,16116,47.69749490277241,1465,2015.325564,walking
19_00_30,accX,142,0.18840382161729097,642,0.669073986940159,655,0.035496,walking
,accY,0.05500000000000001,0.06576473218982952,-5,0.0659545297913646,-5,0.004325,walking
,accZ,0.14799999999999996,0.18237324365158392,0.6300000000000001,0.6558658399398463,0.69,0.03326,walking
,girX,83206,91.89450344824766,-37.416000000000004,99.21974007222555,-53.574999999999996,8444.599764,walking
,girY,45.1656,69.48129749076365,-2.8729999999999967,69.54067033039013,-0.8299999999999998,4827.650701,walking
,girZ,23742,30.214544179914416,-3.520000000000001,30.418893470999237,-5325,912.91868,walking
19_00_57,accX,0.21799999999999997,0.24579666393179542,488,0.5464064421289339,505,0.060415999999999984,stopped
,accY,0.22199999999999998,0.3724513391035129,0.13,0.3944870086580799,0.01,0.13871999999999995,stopped
,accZ,0.2428,0.31984527509406796,597,0.6772813300246804,695,0.102301,stopped
,girX,45.779199999999996,67.12131670341398,6.602000000000001,67.44521895583111,-795,4505.271156000001,stopped
,girY,70.3918,96.08065778813132,22.846999999999987,98.75969932112997,-1575,9231.492800999999,stopped
,girZ,15.317599999999999,21.249335613143298,-0.10400000000000013,21.24959011369396,2105,451.534264,stopped
19_01_24,accX,0.04119999999999998,0.06363175307973212,569,0.5725469413069989,0.58,0.004048999999999999,stopped
,accY,0.0344,0.03661966684720112,17,0.0403732584763727,0.0,0.0013410000000000004,stopped
,accZ,0.03500000000000002,0.047381430961928546,0.7649999999999999,0.7664659157457688,765,0.0022450000000000013,stopped
,girX,5454,8.309450041970289,-3.7900000000000005,9.13296556437174,-1.06,69.04696000000003,stopped
,girY,22.5816,34.20626410469287,16204,37.85020634025659,3.5,1170.0685039999998,stopped
,girZ,7.677000000000001,9.174213045269877,-4.605000000000001,10.265096687318636,-1.38,84.166185,stopped
19_01_51,accX,0.10639999999999998,0.1599874995116806,592,0.6132373113240909,0.57,0.025596,walking
,accY,77,0.09187491496594705,-0.053000000000000005,0.10606601717798213,-0.04,0.008441,walking
,accZ,0.04199999999999998,0.04816637831516918,0.8099999999999999,0.811430835006903,0.8049999999999999,0.0023199999999999996,walking
,girX,40.953199999999995,57.311824163954164,2.7809999999999997,57.37925714053817,-1.1800000000000002,3284.6451890000003,walking
,girY,29859,41.39252552091983,-6.5409999999999995,41.90615527580645,-8.6,1713.3411689999998,walking
,girZ,43.4642,56.86416834000125,15.443000000000001,58.923848228030735,-1.8699999999999999,3233.5336410000004,walking
19_02_18,accX,0.17320000000000002,0.21562931155109688,612,0.6488759511647816,0.73,0.046496,jumping
,accY,0.21839999999999998,0.3556458913020084,16,0.3560056179332006,-85,0.12648399999999999,jumping
,accZ,0.1564,0.19681463360228071,0.5680000000000001,0.6011322649800126,0.64,0.038736,jumping
,girX,121.62640000000002,172.96925161426813,-45.92399999999999,178.96193947317403,-7.33,29918.362003999995,jumping
,girY,71.80720000000001,94.66586039328011,15.315999999999999,95.89684551641938,-0.41999999999999993,8961.625124,jumping
,girZ,69.52799999999999,93.72004150660625,22.900000000000002,96.4772314072082,10.76,8783.446179999999,jumping
19_02_45,accX,0.17600000000000002,0.20571825392998067,0.45999999999999996,0.5039047529047528,365,0.04232,sitting
,accY,0.2772,0.3164869665562865,366,0.4838594837346892,0.31,0.100164,sitting
,accZ,0.13,0.15551527256189343,615,0.6343579431204437,0.58,0.024185000000000005,sitting
,girX,15.316400000000005,23.405296857762774,2.4670000000000005,23.534952942379125,375,547.8079210000001,sitting
,girY,26.596799999999995,42.70442019276224,2.483999999999999,42.77660295067854,-0.09499999999999997,1823.6675039999998,sitting
,girZ,20.22,27.872818946062846,11.377999999999998,30.105695806607756,10285,776.8940359999999,sitting
19_03_12,accX,0.11000000000000001,0.14886235252742716,0.38,0.40811763010191066,365,0.022160000000000003,stopped
,accY,466,0.466866147841113,286,0.5475034246468236,305,0.217964,stopped
,accZ,169,0.1818488383245821,659,0.6836300168951039,0.63,0.033069,stopped
,girX,5.822000000000001,8.483033891244336,-3.654000000000001,9.236535064622448,-3.54,71.961864,stopped
,girY,8.110400000000002,13.041511453815467,-1.4330000000000003,13.120004192072502,-2.6550000000000002,170.08102100000002,stopped
,girZ,27.123600000000003,45.425145855572104,-19102,49.27809127797058,-5135,2063.443876,stopped
19_03_39,accX,0.039400000000000004,0.055937465083787975,591,0.5936413058404881,585,0.003128999999999999,stopped
,accY,0.037200000000000004,0.055999999999999994,-258,0.2640075756488817,-245,0.003135999999999999,stopped
,accZ,0.033600000000000005,0.046733285782191686,724,0.7255067194726731,0.74,0.0021839999999999997,stopped
,girX,6.8,10.817002357400133,1.3199999999999998,10.897244605862529,-575,117.00754000000002,stopped
,girY,9.8596,14.121176615282451,-4.151000000000001,14.718642260752178,-0.63,199.40762899999996,stopped
,girZ,13.381199999999998,17.394204810798335,6737,18.653298099799937,-0.67,302.558361,stopped
19_04_06,accX,0.05900000000000001,0.08028075734570521,625,0.63013490619073,0.65,0.006445000000000001,stopped
,accY,0.1448,0.24185946332529554,-98,0.26095976701399776,-0.18,0.05849599999999998,stopped
,accZ,0.0324,0.042438190347845885,693,0.6942982068247043,0.7,0.0018009999999999994,stopped
,girX,25.675400000000003,39.42887151567998,-7111,40.064975102949965,1.9900000000000002,1554.635909,stopped
,girY,19.407999999999998,32.82821408483866,9.479999999999999,34.16960696291369,-1.29,1077.6916399999998,stopped
,girZ,10082,16.148068769979893,-1.7350000000000005,16.241008281507646,0.18999999999999997,260.76012499999996,stopped
19_04_33,accX,0.10800000000000001,0.12868566353716332,0.55,0.5648539634277164,625,0.016560000000000002,sitting
,accY,0.10840000000000001,0.18002499826413,-0.021000000000000008,0.1812456896039186,-0.08499999999999999,0.032409,sitting
,accZ,0.043199999999999975,0.05775811631277462,0.7579999999999999,0.7601973427998812,745,0.0033360000000000013,sitting
,girX,11.851600000000001,21.121796538173548,-2901,21.320086538285906,0.16999999999999998,446.13028900000006,sitting
,girY,20.0842,35.23719485146342,5173,35.61488214216074,0.33,1241.659901,sitting
,girZ,30.702800000000003,38.65953512395099,-15868,41.78938956242362,0.64,1494.5596560000001,sitting
19_05_00,accX,0.24899999999999997,0.25453683426962004,549,0.6051363482720238,605,0.06478900000000001,lying_down
,accY,0.11200000000000002,0.1850540461594936,0.43499999999999994,0.47272613636227057,0.47,0.03424499999999999,lying_down
,accZ,0.13299999999999998,0.13705838172107532,585,0.600841077157679,0.61,0.018784999999999996,lying_down
,girX,39.24000000000001,49.12519943979872,-25.300000000000004,55.25735444264411,-1.3699999999999999,2413.28522,lying_down
,girY,14.702000000000002,18.925763921173697,-8.74,20.846393932764485,-1075,358.18454,lying_down
,girZ,23.1924,36.84227794260284,-13.813999999999998,39.346919066173406,-0.19999999999999998,1357.353444,lying_down
19_05_27,accX,0.006000000000000005,0.007745966692414841,0.76,0.7600394726591508,0.76,6.00000000000001E-05,lying_down
,accY,0.005999999999999961,0.00670820393249935,0.4050000000000001,0.40505555174568336,0.41,4.49999999999997E-05,lying_down
,accZ,0.009999999999999998,0.012041594578792288,475,0.47515260706429885,0.48,0.000145,lying_down
,girX,0.36,0.47866480965285096,-0.51,0.6994426352460937,-0.44,0.22912000000000005,lying_down
,girY,0.8503999999999999,1.0180687599568115,-86,1.0216946706330614,0.16499999999999998,1.0364639999999998,lying_down
,girZ,0.6572,0.8247448090167042,-0.7959999999999999,1.1462198741951737,-685,0.6802039999999999,lying_down
19_05_53,accX,0.009000000000000008,0.01284523257866514,765,0.7651078355369262,0.76,0.000165,lying_down
,accY,0.013000000000000012,0.014456832294800973,379,0.3792756253702576,375,0.000209,lying_down
,accZ,0.015000000000000008,0.017578395831246953,491,0.4913145631873739,495,0.000309,lying_down
,girX,1.44,2.158811015350811,-1.2850000000000001,2.5123077040840363,-595,4.660464999999999,lying_down
,girY,4.1288,5.52502886870286,-1294,5.674537866646059,-635,30.525944,lying_down
,girZ,1.0508,1.3376187797724732,-954,1.6429668286365369,-0.48,1.7892240000000001,lying_down
19_06_20,accX,0.010000000000000009,0.011135528725660055,764,0.7640811475229577,765,0.000124,lying_down
,accY,0.0068000000000000005,0.009797958971132708,362,0.362132572409608,0.36,9.59999999999999E-05,lying_down
