-----------------------------------------------

time_window,device,absolute_deviation,standard_deviation,arithmetic_average,RMS,median,variance,activity
14:36:38,accX,0.10400000000000001,0.12403628501370073,65,0.1400357097314824,0.09,0.015385,stopped
,accY,0.028200000000000003,0.036069377593742874,-0.007000000000000001,0.03674234614174767,-0.02,0.0013010000000000003,stopped
,accZ,0.03199999999999999,0.043416586692184816,925,0.9260183583493364,0.93,0.001885,stopped
,girX,12748,16.690348708160652,-5.709999999999999,17.640063491949228,-0.05499999999999999,278.56773999999996,stopped
,girY,33.1768,49.317552210141166,-14892,51.51691586265622,195,2432.220956,stopped
,girZ,9.761000000000001,14.91285354987435,1.2370000000000003,14.964069299492033,1.56,222.39320100000003,stopped
14:37:07,accX,0.13499999999999998,0.16322070947033654,0.30699999999999994,0.3476923927841965,275,0.026641000000000005,walking
,accY,0.09759999999999999,0.12418131904598212,-0.023000000000000003,0.1262933094031509,0.0,0.015421,walking
,accZ,0.06280000000000004,0.08867919710958146,0.8859999999999999,0.8904268639253873,895,0.007864000000000001,walking
,girX,6.373800000000001,7.7135491830933445,0.6869999999999999,7.744082256794539,-545,59.498841000000006,walking
,girY,12.343999999999998,14.792760932293875,-4.991999999999999,15.61236176880359,-4.96,218.82577599999996,walking
,girZ,17.5486,29.65053471693217,2949,29.79682550205642,0.64,879.154209,walking
14:37:35,accX,142,0.16292329483533038,396,0.42820555811432437,0.4,0.026543999999999995,stopped
,accY,95,0.12101652779682616,-75,0.14237275020171522,-0.09,0.014645,stopped
,accZ,0.11640000000000003,0.16172816699635226,0.9020000000000001,0.9163841989034949,0.88,0.026156000000000006,stopped
,girX,19.0874,24.370484381727007,-7.920999999999999,25.625431703680626,-4.13,593.920509,stopped
,girY,13.6236,16.484854139482096,3.8779999999999992,16.934854590459288,-0.64,271.750416,stopped
,girZ,19.063200000000002,22.592777695538018,2.5860000000000003,22.74029463309568,-2435,510.4336040000001,stopped
14:38:04,accX,0.1242,0.16935465744997982,607,0.6301825132451709,625,0.028681000000000005,walking
,accY,0.0504,0.06843975452907469,-0.026000000000000002,0.0732120208708925,-0.01,0.004684000000000001,walking
,accZ,0.060799999999999986,0.07889233169326408,704,0.7084066628709812,0.69,0.006224,walking
,girX,24.026400000000002,35.02054145783586,-8944,36.14461868660396,0.3999999999999999,1226.4383240000002,walking
,girY,13.8152,16.336573202480377,3.6659999999999995,16.742854595319162,-265,266.883624,walking
,girZ,24076,34.048694248091216,-8.469999999999999,35.08638596378943,2.2800000000000002,1159.31358,walking
